title,body,labels,state,is_buggy,author,message
nan,nan,[],nan,0,Zeyu Chen,"[SPARK-51358][SS] Introduce snapshot upload lag detection through StateStoreCoordinator

### What changes were proposed in this pull request?

SPARK-51358

This PR adds detection logic + logging to detect delays in snapshot uploads across all state store instances (both RocksDB and HDFSBacked). The main snapshot upload reporting logic is done through RPC calls from RocksDB.scala and HDFSStateStoreProvider to the StateStoreCoordinator, so that events are not dependent on streaming query progress reports.

### Why are the changes needed?

This allows us to enable observability through dashboards and alerts, helping us understand the frequency of lag in production.

### Does this PR introduce _any_ user-facing change?

No

### How was this patch tested?

Ten new tests are added in StateStoreCoordinatorSuite (4 RocksDB, 4 HDFS, 3 edge cases), while taking consideration join and non-joining stateful queries.

One of these test is used to verify that the coordinator will not report any state store as lagging if changelog checkpointing is disabled.

The other test verifies that query restarts do not cause the coordinator to report every instance as lagging.

Another test uses AvailableNow triggers in short batch durations to verify that repeated starts/stops can still report lagging state stores.

### Was this patch authored or co-authored using generative AI tooling?

No

Closes #50123 from zecookiez/SPARK-51358.

Lead-authored-by: Zeyu Chen <zycm03@gmail.com>
Co-authored-by: Zeyu Chen <ZYCM03@gmail.com>
Signed-off-by: Jungtaek Lim <kabhwan.opensource@gmail.com>"
nan,nan,[],nan,0,Bobby Wang,"[SPARK-51537][CONNECT][CORE][FOLLOW-UP][TEST] Add test to ensure Spark plugins are not reloaded

### What changes were proposed in this pull request?

This PR adds a unit test to verify that Spark plugin JARs specified via `--jars` are not reloaded.

### Why are the changes needed?

This PR is a followup of https://github.com/apache/spark/pull/50334#discussion_r2015850636

### Does this PR introduce _any_ user-facing change?
No

### How was this patch tested?

The test added can pass

### Was this patch authored or co-authored using generative AI tooling?
No

Closes #50526 from wbo4958/SPARK-51537-followup.

Authored-by: Bobby Wang <wbo4958@gmail.com>
Signed-off-by: Hyukjin Kwon <gurwls223@apache.org>"
nan,nan,[],nan,0,Xiaonan Yang,"[SPARK-51503][SQL] Support Variant type in XML scan

### What changes were proposed in this pull request?

This PR introduces the capability of reading XML data as Variant type. It includes the Variant support in both XML scan and the `from_xml` SQL expression. Writing variant values to XML will be supported in a subsequent PR.

Reading XML as Variant will follow the similar rules as reading XML as structs and use the same options. There are two modes of reading XML data as Variants:
- The first mode is to ingest an entire XML file as a variant via a new `singleVariantColumn` option. The option specifies the name of the single output column with variant type. Once the option is set, the schema inference stage is skipped and a single variant type is used as the schema of the XML scan. In the parsing stage, each XML record enclosed by the `rowTag` option will be converted to a single variant object and the child elements are recursively parsed as variant types.
- The second mode is specifying a column as the variant type, which can be achieved by providing a defined schema. In this mode, fields not specified as variants will be parsed as non-variant values following the existing behavior, and fields specified as variants will be parsed as variants.

### Why are the changes needed?

Allow users to ingest XML data as Variants

### Does this PR introduce _any_ user-facing change?

No

### How was this patch tested?

New unit tests are added.

### Was this patch authored or co-authored using generative AI tooling?

No.

Closes #50300 from xiaonanyang-db/SPARK-51503.

Authored-by: Xiaonan Yang <xiaonan.yang@databricks.com>
Signed-off-by: Hyukjin Kwon <gurwls223@apache.org>"
nan,nan,[],nan,0,Gengliang Wang,"[SPARK-51723][SQL] Add DSv2 APIs for create/get table constraints

### What changes were proposed in this pull request?

This PR adds the following DSv2 APIs as per SPIP [doc](https://docs.google.com/document/d/1EHjB4W1LjiXxsK_G7067j9pPX0y15LUF1Z5DlUPoPIo/):
* Constraints info from a DSV2 table
* Create table with constraints

### Why are the changes needed?

For constraints support in Spark

### Does this PR introduce _any_ user-facing change?

No

### How was this patch tested?

New UT

### Was this patch authored or co-authored using generative AI tooling?

No

Closes #50519 from gengliangwang/dsv2Changes.

Authored-by: Gengliang Wang <gengliang@apache.org>
Signed-off-by: Gengliang Wang <gengliang@apache.org>"
nan,nan,[],nan,0,Anoop Johnson,"[SPARK-51726][SQL] Use TableInfo for Stage CREATE/REPLACE/CREATE OR REPLACE table

### What changes were proposed in this pull request?

Followup of https://github.com/apache/spark/pull/50137 for the table replace methods in StagingTableCatalog.

### Why are the changes needed?

To make it easier to add new parameters such as constraints.

### Does this PR introduce _any_ user-facing change?
Yes, but backwards compatible by providing a default implementation.

### How was this patch tested?
Existing tests

### Was this patch authored or co-authored using generative AI tooling?
No

Closes #50521 from anoopj/replace.

Authored-by: Anoop Johnson <anoop@apache.org>
Signed-off-by: Gengliang Wang <gengliang@apache.org>"
nan,nan,[],nan,0,summaryzb,"[SPARK-51691][CORE][TESTS] SerializationDebugger should swallow exception when try to find the reason of serialization problem

### What changes were proposed in this pull request?
Catch `SparkRuntimeException` when deep into serialization exception stack during unit test.

### Why are the changes needed?
Present a clearer serialization exception stack hierarchy during test, `toString` implementation of `TreeNode` may throw exception since  `SQLConf.get` check. It is helpful for debug the real problem

### Does this PR introduce _any_ user-facing change?
Yes, but it only take effect in unit test.
User will see the direct serialization exception and the reference chain beyond the root cause.
Before this pr, user will get confuse when unrelated exception is shown
```
WARN org.apache.spark.serializer.SerializationDebugger: Exception in serialization debugger
org.apache.spark.SparkRuntimeException: Cannot get SQLConf inside scheduler event loop thread.
    at org.apache.spark.sql.errors.QueryExecutionErrors$.cannotGetSQLConfInSchedulerEventLoopThreadError(QueryExecutionErrors.scala:2002)
    at org.apache.spark.sql.internal.SQLConf$.get(SQLConf.scala:225)
    at org.apache.spark.sql.execution.ScalarSubquery.toString(subquery.scala:69)
    at java.lang.String.valueOf(String.java:2994)
    at scala.collection.mutable.StringBuilder.append(StringBuilder.scala:203)
    at scala.collection.immutable.Stream.addString(Stream.scala:701)
    at scala.collection.TraversableOnce.mkString(TraversableOnce.scala:377)
org.apache.spark.SparkException: Job aborted due to stage failure: Task not serializable: java.io.NotSerializableException:
org.apache.spark.SimpleFutureAction
```
After this pr
```
org.apache.spark.SparkException: Job aborted due to stage failure: Task not serializable: java.io.NotSerializableException: org.apache.spark.SimpleFutureAction
Serialization stack:
	- object not serializable (class: org.apache.spark.SimpleFutureAction, value: org.apache.spark.SimpleFutureAction4050649d)
	- writeObject data (class: java.util.concurrent.ConcurrentHashMap)
	- object (class java.util.concurrent.ConcurrentHashMap)
	....(not shown)
```

### How was this patch tested?
Pass GitHub Actions

### Was this patch authored or co-authored using generative AI tooling?
No

Closes #50489 from summaryzb/SPARK-51691.

Authored-by: summaryzb <summaryzb@gmail.com>
Signed-off-by: yangjie01 <yangjie01@baidu.com>"
nan,nan,[],nan,0,yangjie01,"[SPARK-51761][INFRA] Add a daily test using the Ubuntu Arm Runner

### What changes were proposed in this pull request?
Standard GitHub-hosted runners have added the combination of `Linux + Arm64`. This pull request adds a daily test for this scenario.

- https://docs.github.com/en/actions/using-github-hosted-runners/using-github-hosted-runners/about-github-hosted-runners
- https://github.com/actions/partner-runner-images/blob/main/images/arm-ubuntu-24-image.md

![image](https://github.com/user-attachments/assets/70ac8cf2-2b98-45b7-8a91-b7ecdbb4f9cd)

### Why are the changes needed?
Check the availability of Spark on `Linux + Arm64`.

### Does this PR introduce _any_ user-facing change?
No

### How was this patch tested?
Monitor Daily test after merged.

### Was this patch authored or co-authored using generative AI tooling?
No

Closes #50553 from LuciferYang/arm-daily-test.

Authored-by: yangjie01 <yangjie01@baidu.com>
Signed-off-by: yangjie01 <yangjie01@baidu.com>"
nan,nan,[],nan,0,yangjie01,"[SPARK-51760][BUILD] Upgrade ASM to 9.8

### What changes were proposed in this pull request?
This PR aims to upgrade ASM from 9.7.1 to 9.8.

### Why are the changes needed?
The new version is intended to support Java 25:

- new Opcodes.V25 constant for Java 25
- bug fixes
   - Fix one more copy operation on DUP2
   - 318015: Valid bytecode for jvm, but failed to pass the CheckClassAdapter.
   - `ASMifier` should print calls to `valueOf` instead of deprecated constructors of primitive wrappers

### Does this PR introduce _any_ user-facing change?
No

### How was this patch tested?
Pass GitHub Actions

### Was this patch authored or co-authored using generative AI tooling?
No

Closes #50543 from LuciferYang/asm-9.8.

Authored-by: yangjie01 <yangjie01@baidu.com>
Signed-off-by: yangjie01 <yangjie01@baidu.com>"
nan,nan,[],nan,0,yangjie01,"[SPARK-51630][CORE][TESTS] Remove `pids` size check from ""SPARK-45907: Use ProcessHandle APIs to computeProcessTree in ProcfsMetricsGetter""

### What changes were proposed in this pull request?
This PR removes the size check for `pids` from the test case titled ""SPARK-45907: Use ProcessHandle APIs to computeProcessTree in ProcfsMetricsGetter"".

### Why are the changes needed?
To avoid potential test instability, the test case 'SPARK-45907: Use ProcessHandle APIs to computeProcessTree in ProcfsMetricsGetter' may fail when tested in the following environment:

```
Apple M3
macOS 15.4
zulu 17.0.14
```

run `build/sbt ""core/testOnly org.apache.spark.ui.UISeleniumSuite org.apache.spark.executor.ProcfsMetricsGetterSuite""`

```
[info] UISeleniumSuite:
[info] - all jobs page should be rendered even though we configure the scheduling mode to fair (4 seconds, 202 milliseconds)
[info] - effects of unpersist() / persist() should be reflected (2 seconds, 845 milliseconds)
[info] - failed stages should not appear to be active (2 seconds, 455 milliseconds)
[info] - spark.ui.killEnabled should properly control kill button display (8 seconds, 610 milliseconds)
[info] - jobs page should not display job group name unless some job was submitted in a job group (2 seconds, 546 milliseconds)
[info] - job progress bars should handle stage / task failures (2 seconds, 610 milliseconds)
[info] - job details page should display useful information for stages that haven't started (2 seconds, 292 milliseconds)
[info] - job progress bars / cells reflect skipped stages / tasks (2 seconds, 304 milliseconds)
[info] - stages that aren't run appear as 'skipped stages' after a job finishes (2 seconds, 201 milliseconds)
[info] - jobs with stages that are skipped should show correct link descriptions on all jobs page (2 seconds, 188 milliseconds)
[info] - attaching and detaching a new tab (2 seconds, 268 milliseconds)
[info] - kill stage POST/GET response is correct (173 milliseconds)
[info] - kill job POST/GET response is correct (141 milliseconds)
[info] - stage & job retention (2 seconds, 661 milliseconds)
[info] - live UI json application list (2 seconds, 187 milliseconds)
[info] - job stages should have expected dotfile under DAG visualization (2 seconds, 126 milliseconds)
[info] - stages page should show skipped stages (2 seconds, 651 milliseconds)
[info] - Staleness of Spark UI should not last minutes or hours (2 seconds, 167 milliseconds)
[info] - description for empty jobs (2 seconds, 242 milliseconds)
[info] - Support disable event timeline (4 seconds, 585 milliseconds)
[info] - SPARK-41365: Stage page can be accessed if URI was encoded twice (2 seconds, 306 milliseconds)
[info] - SPARK-44895: Add 'daemon', 'priority' for ThreadStackTrace (2 seconds, 219 milliseconds)
[info] ProcfsMetricsGetterSuite:
[info] - testGetProcessInfo (1 millisecond)
OpenJDK 64-Bit Server VM warning: Sharing is only supported for boot loader classes because bootstrap classpath has been appended
[info] - SPARK-34845: partial metrics shouldn't be returned (493 milliseconds)
[info] - SPARK-45907: Use ProcessHandle APIs to computeProcessTree in ProcfsMetricsGetter *** FAILED *** (10 seconds, 149 milliseconds)
[info]   The code passed to eventually never returned normally. Attempted 102 times over 10.036665625 seconds. Last failure message: 1 did not equal 3. (ProcfsMetricsGetterSuite.scala:87)
[info]   org.scalatest.exceptions.TestFailedDueToTimeoutException:
[info]   at org.scalatest.enablers.Retrying$$anon$4.tryTryAgain$2(Retrying.scala:219)
[info]   at org.scalatest.enablers.Retrying$$anon$4.retry(Retrying.scala:226)
[info]   at org.scalatest.concurrent.Eventually.eventually(Eventually.scala:313)
[info]   at org.scalatest.concurrent.Eventually.eventually$(Eventually.scala:312)
[info]   at org.scalatest.concurrent.Eventually$.eventually(Eventually.scala:457)
[info]   at org.apache.spark.executor.ProcfsMetricsGetterSuite.$anonfun$new$3(ProcfsMetricsGetterSuite.scala:87)
```

After conducting an investigation, I discovered that the `eventually` block does not always capture the stage where `pids.size` is 3. Due to timing issues, it may directly capture the scenario where `pids.size` is 4. Furthermore, since the checks for `pids.contains(currentPid)` and `pids.contains(child)` are more crucial, this PR removes the check for the size of `pids`.

### Does this PR introduce _any_ user-facing change?
No

### How was this patch tested?
- Pass GitHub Actions

### Was this patch authored or co-authored using generative AI tooling?
No

Closes #50545 from LuciferYang/ProcfsMetricsGetterSuite.

Lead-authored-by: yangjie01 <yangjie01@baidu.com>
Co-authored-by: YangJie <yangjie01@baidu.com>
Signed-off-by: yangjie01 <yangjie01@baidu.com>"
nan,nan,[],nan,0,Vlad Rozov,"[SPARK-51699][BUILD] Upgrade to Apache parent pom 34

### What changes were proposed in this pull request?
Upgrade Apache parent pom from version 33 to the latest version 34 along with upgrading few maven plugins versions to match those from the latest parent pom.

- maven-compiler-plugin from 3.13.0 to 3.14.0
- maven-clean-plugin from 3.4.0 to 3.4.1
- maven-install-plugin from 3.1.2 to 3.1.4
- maven-deploy-plugin from 3.1.2 to 3.1.4

### Why are the changes needed?
Apache parent pom version 34 includes several plugin upgrades as well as bug fixes. For the full list please see [release notes](https://github.com/apache/maven-apache-parent/releases/tag/apache-34)

### Does this PR introduce _any_ user-facing change?
No

### How was this patch tested?
Local mvn build with the new parent pom succeeds:
```
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  15:08 min
[INFO] Finished at: 2025-04-02T09:07:47-07:00
[INFO] ------------------------------------------------------------------------
```

### Was this patch authored or co-authored using generative AI tooling?
No

Closes #50500 from vrozov/SPARK-51699.

Authored-by: Vlad Rozov <vrozov@amazon.com>
Signed-off-by: Kent Yao <yao@apache.org>"
nan,nan,[],nan,0,Amanda Liu,"[SPARK-51747][SQL] Data source cached plan should respect options

### What changes were proposed in this pull request?

Data source cached plan should respect options, such as CSV delimiter. Before this, DataSourceStrategy caches the first plan and reuses it in the future, ignoring updated options. This change returns a **new plan** if options are changed.

### Why are the changes needed?

For example:

```
spark.sql(""CREATE TABLE t(a string, b string) USING CSV"".stripMargin)
spark.sql(""INSERT INTO TABLE t VALUES ('a;b', 'c')"")

spark.sql(""SELECT * FROM t"").show()
spark.sql(""SELECT * FROM t WITH ('delimiter' = ';')"")
```

Expected output:

 ```
+----+----+
|col1|col2|
+----+----+
| a;b|   c|
+----+----+

+----+----+
|col1|col2|
+----+----+
|   a| b,c|
+----+----+
 ```

Output before this PR:

 ```
+----+----+
|col1|col2|
+----+----+
| a;b|   c|
+----+----+

+----+----+
|col1|col2|
+----+----+
| a;b|   c|
+----+----+
```

The PR is needed to get the expected result.

### Does this PR introduce _any_ user-facing change?

Yes, corrects the caching behavior from DataSourceStrategy

### How was this patch tested?

Added test in DDLSuite.scala

### Was this patch authored or co-authored using generative AI tooling?

No

Closes #50538 from asl3/asl3/datasourcestrategycacheoptions.

Lead-authored-by: Amanda Liu <amanda.liu@databricks.com>
Co-authored-by: Gengliang Wang <gengliang@apache.org>
Signed-off-by: Gengliang Wang <gengliang@apache.org>"
nan,nan,[],nan,0,Takuya Ueshin,"[SPARK-51738][SQL][FOLLOWUP] Fix HashJoin to accept structurally-equal types

### What changes were proposed in this pull request?

This is a follow-up of #50537.

Fixes `HashJoin` to accept structurally-equal types.

### Why are the changes needed?

#50537 relaxed the requirement for binary comparison, so should `HashJoin`; otherwise, it can fail with `IllegalArgumentException`.

For example, in `SubquerySuite`:

```scala
sql(""""""
      |SELECT foo IN (SELECT struct(c, d) FROM r)
      |FROM (SELECT struct(a, b) foo FROM l)
      |"""""".stripMargin).show()
```

fails with:

```
[info]   java.lang.IllegalArgumentException: requirement failed: Join keys from two sides should have same length and types
[info]   at scala.Predef$.require(Predef.scala:337)
[info]   at org.apache.spark.sql.execution.joins.HashJoin.org$apache$spark$sql$execution$joins$HashJoin$$x$6(HashJoin.scala:115)
[info]   at org.apache.spark.sql.execution.joins.HashJoin.org$apache$spark$sql$execution$joins$HashJoin$$x$6$(HashJoin.scala:110)
[info]   at org.apache.spark.sql.execution.joins.BroadcastHashJoinExec.org$apache$spark$sql$execution$joins$HashJoin$$x$6$lzycompute(BroadcastHashJoinExec.scala:40)
[info]   at org.apache.spark.sql.execution.joins.BroadcastHashJoinExec.org$apache$spark$sql$execution$joins$HashJoin$$x$6(BroadcastHashJoinExec.scala:40)
[info]   at org.apache.spark.sql.execution.joins.HashJoin.buildKeys(HashJoin.scala:110)
[info]   at org.apache.spark.sql.execution.joins.HashJoin.buildKeys$(HashJoin.scala:110)
[info]   at org.apache.spark.sql.execution.joins.BroadcastHashJoinExec.buildKeys$lzycompute(BroadcastHashJoinExec.scala:40)
[info]   at org.apache.spark.sql.execution.joins.BroadcastHashJoinExec.buildKeys(BroadcastHashJoinExec.scala:40)
[info]   at org.apache.spark.sql.execution.joins.HashJoin.buildBoundKeys(HashJoin.scala:130)
[info]   at org.apache.spark.sql.execution.joins.HashJoin.buildBoundKeys$(HashJoin.scala:129)
[info]   at org.apache.spark.sql.execution.joins.BroadcastHashJoinExec.buildBoundKeys$lzycompute(BroadcastHashJoinExec.scala:40)
[info]   at org.apache.spark.sql.execution.joins.BroadcastHashJoinExec.buildBoundKeys(BroadcastHashJoinExec.scala:40)
[info]   at org.apache.spark.sql.execution.joins.BroadcastHashJoinExec.requiredChildDistribution(BroadcastHashJoinExec.scala:63)
...
```

### Does this PR introduce _any_ user-facing change?

Yes, `HashJoin` will work.

### How was this patch tested?

Added the related test.

### Was this patch authored or co-authored using generative AI tooling?

No.

Closes #50549 from ueshin/issues/SPARK-51738/hashjoin.

Authored-by: Takuya Ueshin <ueshin@databricks.com>
Signed-off-by: Wenchen Fan <wenchen@databricks.com>"
nan,nan,[],nan,0,Pavle Martinovic,"[SPARK-51751][SQL] Fix multiple rCTEs for one WITH statement that reference each other

### What changes were proposed in this pull request?

Add a check to UnionLoopExec that the UnionLoopRef in its subtree is referring to the correct query. This is important since if we call another rCTE from it, it will also have a UnionLoopRef which needs to not be replaced with the reference.

### Why are the changes needed?

Multiple rCTEs within one WITH statement ended in an infinite recursion.

### Does this PR introduce _any_ user-facing change?

No.

### How was this patch tested?

New golden file test added.

### Was this patch authored or co-authored using generative AI tooling?
No.

Closes #50544 from Pajaraja/pavle-martinovic_data/multiplerctesfix.

Lead-authored-by: Pavle Martinovic <34302662+Pajaraja@users.noreply.github.com>
Co-authored-by: pavle-martinovic_data <pavle.martinovic@databricks.com>
Signed-off-by: Wenchen Fan <wenchen@databricks.com>"
nan,nan,[],nan,0,Ruifeng Zheng,"[SPARK-51754][PYTHON][DOCS][TESTS] Make `sampleBy` doctest deterministic

### What changes were proposed in this pull request?
Make `sampleBy` doctest deterministic, by specifying the partitioning

### Why are the changes needed?
it fails on some envs, e.g. in my local (macos + python 3.13):

```
In [1]:         >>> from pyspark.sql.functions import col
   ...:         >>> dataset = spark.range(0, 100).select((col(""id"") % 3).alias(""key""))
   ...:         >>> sampled = dataset.sampleBy(""key"", fractions={0: 0.1, 1: 0.2}, seed=0)
   ...:         >>> sampled.groupBy(""key"").count().orderBy(""key"").show()
+---+-----+
|key|count|
+---+-----+
|  0|    2|
|  1|    6|
+---+-----+

```

### Does this PR introduce _any_ user-facing change?
minor doc change

### How was this patch tested?
CI and manually test

### Was this patch authored or co-authored using generative AI tooling?
no

Closes #50547 from zhengruifeng/py_test_sample_by.

Authored-by: Ruifeng Zheng <ruifengz@apache.org>
Signed-off-by: Ruifeng Zheng <ruifengz@apache.org>"
